#r        v         
0         0         
0.600492  10.4306   
1.20098   29.3908   
1.80148   50.534    
2.40197   71.3787   
3.00246   93.7524   
3.60295   114.543   
4.20344   135.027   
4.80394   154.058   
5.40443   170.109   
6.00492   185.522   
6.60541   199.404   
7.2059    211.42    
7.8064    222.87    
8.40689   233.401   
9.00738   242.542   
9.60787   250.207   
10.2084   257.588   
10.8089   263.987   
11.4093   269.626   
12.0098   274.226   
12.6103   278.381   
13.2108   282.185   
13.8113   285.389   
14.4118   288.102   
15.0123   290.404   
15.6128   291.603   
16.2133   292.155   
16.8138   292.332   
17.4143   292.539   
18.0148   292.252   
18.6153   291.626   
19.2157   291.13    
19.8162   290.394   
20.4167   289.66    
21.0172   288.757   
21.6177   288.024   
22.2182   287.206   
22.8187   286.336   
23.4192   285.546   
24.0197   284.684   
24.6202   284.108   
25.2207   283.338   
25.8212   282.631   
26.4216   282.043   
27.0221   281.422   
27.6226   280.826   
28.2231   280.413   
28.8236   279.867   
29.4241   279.321   
30.0246   278.827   
30.6251   278.361   
31.2256   278.034   
31.8261   277.777   
32.4266   277.263   
33.0271   276.97    
33.6276   276.526   
34.228    276.174   
34.8285   275.803   
35.429    275.425   
36.0295   274.996   
36.63     274.437   
37.2305   273.834   
37.831    273.316   
38.4315   273.01    
39.032    272.502   
39.6325   271.956   
40.233    271.493   
40.8335   271.155   
41.4339   270.625   
42.0344   270.091   
42.6349   269.654   
43.2354   269.145   
43.8359   268.607   
44.4364   268.126   
45.0369   267.387   
45.6374   266.906   
46.2379   266.458   
46.8384   265.942   
47.4389   265.532   
48.0394   265.075   
48.6399   264.676   
49.2403   264.192   
49.8408   263.62    
50.4413   262.812   
51.0418   261.765   
51.6423   260.694   
52.2428   259.604   
52.8433   258.497   
53.4438   257.378   
54.0443   256.25    
54.6448   255.114   
55.2453   253.974   
55.8458   252.833   
56.4462   251.691   
57.0467   250.551   
57.6472   249.414   
58.2477   248.282   
58.8482   247.155   
59.4487   246.036   
