#r        v         
0         0         
0.600492  8.6954    
1.20098   25.151    
1.80148   43.1305   
2.40197   61.4337   
3.00246   80.5285   
3.60295   97.61     
4.20344   114.595   
4.80394   130.183   
5.40443   143.505   
6.00492   155.267   
6.60541   165.872   
7.2059    176.173   
7.8064    185.161   
8.40689   193.371   
9.00738   199.933   
9.60787   205.564   
10.2084   210.519   
10.8089   214.385   
11.4093   217.883   
12.0098   220.319   
12.6103   222.299   
13.2108   224.107   
13.8113   225.483   
14.4118   226.52    
15.0123   227.294   
15.6128   226.5     
16.2133   225.094   
16.8138   223.303   
17.4143   221.244   
18.0148   218.999   
18.6153   216.63    
19.2157   214.186   
19.8162   211.702   
20.4167   209.206   
21.0172   206.72    
21.6177   204.26    
22.2182   201.835   
22.8187   199.456   
23.4192   197.126   
24.0197   194.85    
24.6202   192.629   
25.2207   190.464   
25.8212   188.357   
26.4216   186.305   
27.0221   184.309   
27.6226   182.368   
28.2231   180.479   
28.8236   178.642   
29.4241   176.854   
30.0246   175.115   
30.6251   173.422   
31.2256   171.774   
31.8261   170.17    
32.4266   168.607   
33.0271   167.085   
33.6276   165.601   
34.228    164.154   
34.8285   162.743   
35.429    161.367   
36.0295   160.024   
36.63     158.713   
37.2305   157.433   
37.831    156.183   
38.4315   154.961   
39.032    153.767   
39.6325   152.599   
40.233    151.458   
40.8335   150.341   
41.4339   149.248   
42.0344   148.178   
42.6349   147.131   
43.2354   146.105   
43.8359   145.1     
44.4364   144.115   
45.0369   143.15    
45.6374   142.204   
46.2379   141.276   
46.8384   140.366   
47.4389   139.473   
48.0394   138.597   
48.6399   137.737   
49.2403   136.893   
49.8408   136.064   
50.4413   135.25    
51.0418   134.45    
51.6423   133.664   
52.2428   132.891   
52.8433   132.132   
53.4438   131.386   
54.0443   130.652   
54.6448   129.93    
55.2453   129.22    
55.8458   128.521   
56.4462   127.834   
57.0467   127.157   
57.6472   126.491   
58.2477   125.836   
58.8482   125.19    
59.4487   124.554   
