#r        v         
0         0         
0.150123  1.58827   
0.300246  3.61688   
0.450369  4.74582   
0.600492  8.39266   
0.750615  10.4133   
0.900738  15.2533   
1.05086   17.747    
1.20098   22.6674   
1.35111   27.8628   
1.50123   33.4679   
1.65135   37.7098   
1.80148   43.0524   
1.9516    47.5126   
2.10172   52.2964   
2.25184   56.2795   
2.40197   59.9909   
2.55209   66.0415   
2.70221   68.7313   
2.85234   72.1856   
3.00246   79.0158   
3.15258   82.84     
3.30271   86.274    
3.45283   90.686    
3.60295   95.8665   
3.75307   99.9461   
3.9032    104.403   
4.05332   104.134   
4.20344   111.27    
4.35357   118.086   
4.50369   121.74    
4.65381   120.867   
4.80394   128.118   
4.95406   131.286   
5.10418   130.234   
5.2543    138.615   
5.40443   133.243   
5.55455   139.647   
5.70467   145.708   
5.8548    150.233   
6.00492   150.881   
6.15504   155.498   
6.30517   149.467   
6.45529   154.114   
6.60541   158.731   
6.75553   166.906   
6.90566   167.761   
7.05578   167.819   
7.2059    169.496   
7.35603   163.764   
7.50615   178.935   
7.65627   177.223   
7.8064    176.79    
7.95652   176.648   
8.10664   182.981   
8.25676   185.885   
8.40689   187.354   
8.55701   181.291   
8.70713   177.309   
8.85726   185.849   
9.00738   186.927   
9.1575    189.278   
9.30763   194.461   
9.45775   190.925   
9.60787   193.055   
9.75799   188.545   
9.90812   190.108   
10.0582   195.378   
10.2084   193.383   
10.3585   203.94    
10.5086   203.031   
10.6587   194.184   
10.8089   200.203   
10.959    206.911   
11.1091   188.492   
11.2592   191.867   
11.4093   202.744   
11.5595   203.603   
11.7096   200.196   
11.8597   194.621   
12.0098   202.573   
12.16     204.275   
12.3101   204.893   
12.4602   209.051   
12.6103   206.818   
12.7605   193.475   
12.9106   209.355   
13.0607   201.881   
13.2108   199.382   
13.3609   206.359   
13.5111   198.673   
13.6612   205.872   
13.8113   210.354   
13.9614   198.732   
14.1116   205.005   
14.2617   203.47    
14.4118   198.51    
14.5619   197.803   
14.7121   214.011   
14.8622   217.051   
15.0123   179.759   
15.1624   182.491   
15.3125   160.237   
15.4627   145.237   
15.6128   149.307   
15.7629   177.077   
