#r        v         
0         0         
0.600492  8.41346   
1.20098   25.1296   
1.80148   43.4355   
2.40197   61.6098   
3.00246   80.1649   
3.60295   97.4117   
4.20344   114.046   
4.80394   129.618   
5.40443   143.263   
6.00492   155.13    
6.60541   165.9     
7.2059    175.999   
7.8064    184.779   
8.40689   193.189   
9.00738   199.874   
9.60787   205.736   
10.2084   210.727   
10.8089   214.527   
11.4093   217.779   
12.0098   220.215   
12.6103   222.258   
13.2108   224.038   
13.8113   225.439   
14.4118   226.483   
15.0123   227.202   
15.6128   226.367   
16.2133   224.949   
16.8138   223.154   
17.4143   221.096   
18.0148   218.854   
18.6153   216.492   
19.2157   214.055   
19.8162   211.581   
20.4167   209.095   
21.0172   206.62    
21.6177   204.17    
22.2182   201.756   
22.8187   199.386   
23.4192   197.066   
24.0197   194.799   
24.6202   192.586   
25.2207   190.43    
25.8212   188.33    
26.4216   186.285   
27.0221   184.296   
27.6226   182.36    
28.2231   180.477   
28.8236   178.645   
29.4241   176.862   
30.0246   175.127   
30.6251   173.439   
31.2256   171.795   
31.8261   170.193   
32.4266   168.634   
33.0271   167.114   
33.6276   165.633   
34.228    164.189   
34.8285   162.78    
35.429    161.406   
36.0295   160.065   
36.63     158.755   
37.2305   157.477   
37.831    156.228   
38.4315   155.007   
39.032    153.814   
39.6325   152.648   
40.233    151.507   
40.8335   150.391   
41.4339   149.299   
42.0344   148.229   
42.6349   147.183   
43.2354   146.157   
43.8359   145.153   
44.4364   144.169   
45.0369   143.204   
45.6374   142.258   
46.2379   141.33    
46.8384   140.42    
47.4389   139.528   
48.0394   138.652   
48.6399   137.792   
49.2403   136.947   
49.8408   136.118   
50.4413   135.304   
51.0418   134.504   
51.6423   133.718   
52.2428   132.946   
52.8433   132.186   
53.4438   131.44    
54.0443   130.706   
54.6448   129.984   
55.2453   129.274   
55.8458   128.575   
56.4462   127.887   
57.0467   127.21    
57.6472   126.544   
58.2477   125.888   
58.8482   125.243   
59.4487   124.607   
