#r        v         
0         0         
0.600492  15.1999   
1.20098   38.6964   
1.80148   61.5559   
2.40197   82.9021   
3.00246   101.574   
3.60295   117.93    
4.20344   132.797   
4.80394   146.362   
5.40443   157.358   
6.00492   167.038   
6.60541   175.425   
7.2059    183.571   
7.8064    190.483   
8.40689   196.492   
9.00738   202.324   
9.60787   207.275   
10.2084   211.312   
10.8089   214.906   
11.4093   217.323   
12.0098   218.833   
12.6103   219.646   
13.2108   220.181   
13.8113   221.28    
14.4118   222.819   
15.0123   223.981   
15.6128   221.235   
16.2133   216.421   
16.8138   210.936   
17.4143   205.442   
18.0148   200.212   
18.6153   195.33    
19.2157   190.805   
19.8162   186.614   
20.4167   182.726   
21.0172   179.107   
21.6177   175.729   
22.2182   172.565   
22.8187   169.592   
23.4192   166.791   
24.0197   164.143   
24.6202   161.635   
25.2207   159.254   
25.8212   156.988   
26.4216   154.827   
27.0221   152.764   
27.6226   150.79    
28.2231   148.898   
28.8236   147.083   
29.4241   145.339   
30.0246   143.662   
30.6251   142.046   
31.2256   140.488   
31.8261   138.984   
32.4266   137.532   
33.0271   136.127   
33.6276   134.768   
34.228    133.451   
34.8285   132.175   
35.429    130.937   
36.0295   129.735   
36.63     128.568   
37.2305   127.433   
37.831    126.33    
38.4315   125.256   
39.032    124.211   
39.6325   123.193   
40.233    122.2     
40.8335   121.233   
41.4339   120.289   
42.0344   119.367   
42.6349   118.468   
43.2354   117.589   
43.8359   116.731   
44.4364   115.891   
45.0369   115.071   
45.6374   114.268   
46.2379   113.482   
46.8384   112.713   
47.4389   111.96    
48.0394   111.222   
48.6399   110.499   
49.2403   109.79    
49.8408   109.096   
50.4413   108.414   
51.0418   107.746   
51.6423   107.09    
52.2428   106.447   
52.8433   105.815   
53.4438   105.195   
54.0443   104.585   
54.6448   103.987   
55.2453   103.399   
55.8458   102.821   
56.4462   102.252   
57.0467   101.694   
57.6472   101.144   
58.2477   100.604   
58.8482   100.072   
59.4487   99.5493   
