#r        v         
0         0         
0.600492  12.6749   
1.20098   30.9601   
1.80148   45.3608   
2.40197   58.2218   
3.00246   71.8383   
3.60295   80.1617   
4.20344   89.1385   
4.80394   99.8332   
5.40443   108.062   
6.00492   115.688   
6.60541   123.181   
7.2059    129.554   
7.8064    135.177   
8.40689   141.166   
9.00738   145.351   
9.60787   151.92    
10.2084   157.356   
10.8089   162.851   
11.4093   167.326   
12.0098   170.645   
12.6103   173.647   
13.2108   178.333   
13.8113   182.068   
14.4118   186.379   
15.0123   189.812   
15.6128   193.495   
16.2133   195.897   
16.8138   197.029   
17.4143   197.542   
18.0148   198.377   
18.6153   199.449   
19.2157   200.702   
19.8162   201.74    
20.4167   203.119   
21.0172   204.832   
21.6177   206.032   
22.2182   206.989   
22.8187   207.641   
23.4192   208.583   
24.0197   209.661   
24.6202   211.538   
25.2207   213.04    
25.8212   214.019   
26.4216   215.232   
27.0221   216.374   
27.6226   216.967   
28.2231   217.613   
28.8236   217.985   
29.4241   218.478   
30.0246   218.914   
30.6251   219.385   
31.2256   221.248   
31.8261   223.566   
32.4266   224.388   
33.0271   224.466   
33.6276   225.123   
34.228    225.713   
34.8285   227.423   
35.429    229.112   
36.0295   230.284   
36.63     231.041   
37.2305   231.278   
37.831    231.926   
38.4315   232.544   
39.032    232.85    
39.6325   233.232   
40.233    233.283   
40.8335   233.649   
41.4339   234.497   
42.0344   235.314   
42.6349   236.282   
43.2354   237.723   
43.8359   238.875   
44.4364   239.459   
45.0369   240.639   
45.6374   241.927   
46.2379   242.267   
46.8384   242.362   
47.4389   242.124   
48.0394   241.677   
48.6399   241.199   
49.2403   240.938   
49.8408   240.498   
50.4413   239.854   
51.0418   238.787   
51.6423   237.705   
52.2428   236.609   
52.8433   235.502   
53.4438   234.386   
54.0443   233.265   
54.6448   232.14    
55.2453   231.014   
55.8458   229.89    
56.4462   228.769   
57.0467   227.655   
57.6472   226.547   
58.2477   225.448   
58.8482   224.358   
59.4487   223.279   
