# p ,r
0.000000000000000000e+00 0.000000000000000000e+00
3.522545671587484030e-09 2.000040000800016094e-05
1.408943143391514942e-08 4.000080001600032187e-05
3.169952998058012363e-08 6.000120002400047942e-05
5.635171412739401544e-08 8.000160003200064375e-05
8.804485766788430366e-08 1.000020000400008081e-04
1.267778336622915692e-07 1.200024000480009588e-04
1.725495154152853855e-07 1.400028000560011232e-04
2.253587765981786986e-07 1.600032000640012875e-04
2.852044908822845739e-07 1.800036000720014518e-04
3.520855319389159709e-07 2.000040000800016161e-04
4.260007740504582604e-07 2.200044000880017805e-04
5.069490914992969724e-07 2.400048000960019177e-04
5.949293582011740255e-07 2.600052001040021091e-04
6.899404485606892572e-07 2.800056001120022463e-04
7.919812372268716496e-07 3.000060001200024378e-04
9.010505987265356123e-07 3.200064001280025750e-04
1.017147408075353315e-06 3.400068001360027122e-04
1.140270540044568312e-06 3.600072001440029036e-04
1.270418869772067239e-06 3.800076001520030409e-04
1.407591272517951517e-06 4.000080001600032323e-04
1.551786623420107781e-06 4.200084001680033695e-04
1.703003797860852024e-06 4.400088001760035609e-04
1.861241671955786825e-06 4.600092001840036982e-04
2.026499121087227965e-06 4.800096001920038354e-04
2.198775021248563873e-06 5.000100002000040268e-04
2.378068248433182135e-06 5.200104002080042183e-04
2.564377678634471391e-06 5.400108002160043013e-04
2.757702187968034856e-06 5.600112002240044927e-04
2.958040653527189782e-06 5.800116002320046841e-04
3.165391951427540231e-06 6.000120002400048756e-04
3.379754958395760161e-06 6.200124002480049586e-04
3.601128551280739797e-06 6.400128002560051500e-04
3.829511606931368941e-06 6.600132002640053414e-04
4.064903002563179839e-06 6.800136002720054244e-04
4.307301615269491862e-06 7.000140002800056159e-04
4.556706322510266825e-06 7.200144002880058073e-04
4.813116001989894842e-06 7.400148002960059987e-04
5.076529530801696130e-06 7.600152003040060817e-04
5.346945787383346541e-06 7.800156003120062732e-04
5.624363649194810432e-06 8.000160003200064646e-04
5.908781994062691219e-06 8.200164003280065476e-04
