# p ,r
0.000000000000000000e+00 0.000000000000000000e+00
1.035493252596980590e-09 2.000040000800016094e-05
4.141864377280588393e-09 4.000080001600032187e-05
9.318945410600785815e-09 6.000120002400047942e-05
1.656657185261288692e-08 8.000160003200064375e-05
2.588457806873932862e-08 1.000020000400008081e-04
3.727279958927733179e-08 1.200024000480009588e-04
5.073106851003275763e-08 1.400028000560011232e-04
6.625922039080796739e-08 1.600032000640012875e-04
8.385709080621056823e-08 1.800036000720014518e-04
1.035245118975145047e-07 2.000040000800016161e-04
1.252613192684465967e-07 2.200044000880017805e-04
1.490673473895392380e-07 2.400048000960019177e-04
1.749424318946909458e-07 2.600052001040021091e-04
2.028864049843965359e-07 2.800056001120022463e-04
2.328991023221649309e-07 3.000060001200024378e-04
2.649803595879241523e-07 3.200064001280025750e-04
2.991300090259531279e-07 3.400068001360027122e-04
3.353478863453692698e-07 3.600072001440029036e-04
3.736338272696039203e-07 3.800076001520030409e-04
4.139876640881235209e-07 4.000080001600032323e-04
4.564092325552329179e-07 4.200084001680033695e-04
5.008983672882534093e-07 4.400088001760035609e-04
5.474549040715213943e-07 4.600092001840036982e-04
5.960786752537238877e-07 4.800096001920038354e-04
6.467695166472639904e-07 5.000100002000040268e-04
6.995272640811039796e-07 5.200104002080042183e-04
7.543517499477152208e-07 5.400108002160043013e-04
8.112428101060914385e-07 5.600112002240044927e-04
8.702002792768395929e-07 5.800116002320046841e-04
9.312239933492655412e-07 6.000120002400048756e-04
9.943137847767452827e-07 6.200124002480049586e-04
1.059469489474406156e-06 6.400128002560051500e-04
1.126690943375899476e-06 6.600132002640053414e-04
1.195977978978385540e-06 6.800136002720054244e-04
1.267330432242459355e-06 7.000140002800056159e-04
1.340748137996504567e-06 7.200144002880058073e-04
1.416230932230866945e-06 7.400148002960059987e-04
1.493778647503892213e-06 7.600152003040060817e-04
1.573391119835677324e-06 7.800156003120062732e-04
1.655068185262036568e-06 8.000160003200064646e-04
1.738809676385099645e-06 8.200164003280065476e-04
1.824615429270431181e-06 8.400168003360067390e-04
1.912485278848578006e-06 8.600172003440069305e-04
2.002419061214855084e-06 8.800176003520071219e-04
2.094416609030894062e-06 9.000180003600072049e-04
2.188477758421200143e-06 9.200184003680073963e-04
2.284602345524872905e-06 9.400188003760075878e-04
2.382790203050134199e-06 9.600192003840076708e-04
2.483041167163028567e-06 9.800196003920079706e-04
2.585355074050368532e-06 1.000020000400008054e-03
2.689731756461353702e-06 1.020020400408008137e-03
2.796171050609741989e-06 1.040020800416008437e-03
2.904672791576516447e-06 1.060021200424008520e-03
3.015236815603501849e-06 1.080021600432008603e-03
3.127862955499398480e-06 1.100022000440008902e-03
3.242551047539710833e-06 1.120022400448008985e-03
3.359300928012292297e-06 1.140022800456009068e-03
3.478112429768505242e-06 1.160023200464009368e-03
3.598985389129883626e-06 1.180023600472009451e-03
3.721919641276205890e-06 1.200024000480009751e-03
3.846915022558194746e-06 1.220024400488009834e-03
3.973971365885592194e-06 1.240024800496009917e-03
4.103088507636064642e-06 1.260025200504010217e-03
4.234266284204118361e-06 1.280025600512010300e-03
4.367504528545526084e-06 1.300026000520010383e-03
4.502803077080615036e-06 1.320026400528010683e-03
4.640161765099185186e-06 1.340026800536010766e-03
4.779580429049632738e-06 1.360027200544010849e-03
4.921058901949474890e-06 1.380027600552011149e-03
5.064597020280786721e-06 1.400028000560011232e-03
5.210194620536869884e-06 1.420028400568011532e-03
5.357851535780148724e-06 1.440028800576011615e-03
5.507567602536483994e-06 1.460029200584011698e-03
5.659342656195591672e-06 1.480029600592011997e-03
5.813176533311399793e-06 1.500030000600012080e-03
5.969069067004709368e-06 1.520030400608012163e-03
6.127020093860883519e-06 1.540030800616012463e-03
6.287029450478753193e-06 1.560031200624012546e-03
6.449096970022906767e-06 1.580031600632012629e-03
6.613222489120243319e-06 1.600032000640012929e-03
6.779405844416748119e-06 1.620032400648013012e-03
6.947646869121915844e-06 1.640032800656013095e-03
7.117945399905306386e-06 1.660033200664013395e-03
7.290301272309321035e-06 1.680033600672013478e-03
7.464714323033833298e-06 1.700034000680013778e-03
7.641184385347837680e-06 1.720034400688013861e-03
7.819711295984889954e-06 1.740034800696013944e-03
8.000294891689766538e-06 1.760035200704014244e-03
8.182935005776371623e-06 1.780035600712014327e-03
8.367631475020920949e-06 1.800036000720014410e-03
8.554384135064607800e-06 1.820036400728014710e-03
8.743192822713961531e-06 1.840036800736014793e-03
8.934057371341260457e-06 1.860037200744014876e-03
9.126977617779978051e-06 1.880037600752015176e-03
9.321953398882668049e-06 1.900038000760015259e-03
9.518984548065398675e-06 1.920038400768015342e-03
9.718070902206544620e-06 1.940038800776015641e-03
9.919212297050588058e-06 1.960039200784015941e-03
1.012240856950958848e-05 1.980039600792015807e-03
1.032765955305798825e-05 2.000040000800016107e-03
1.053496508463029660e-05 2.020040400808016407e-03
1.074432500118797370e-05 2.040040800816016273e-03
1.095573913624362920e-05 2.060041200824016573e-03
1.116920732678117469e-05 2.080041600832016873e-03
1.138472940865511178e-05 2.100042000840016739e-03
1.160230521887180352e-05 2.120042400848017039e-03
1.182193459100897777e-05 2.140042800856017339e-03
1.204361736211116827e-05 2.160043200864017205e-03
1.226735336923638170e-05 2.180043600872017505e-03
1.249314244600500416e-05 2.200044000880017805e-03
1.272098442950648081e-05 2.220044400888017671e-03
1.295087915683922854e-05 2.240044800896017971e-03
1.318282646166630023e-05 2.260045200904018271e-03
1.341682618112877952e-05 2.280045600912018137e-03
1.365287815121139763e-05 2.300046000920018437e-03
1.389098220907993600e-05 2.320046400928018736e-03
1.413113818846031766e-05 2.340046800936019036e-03
1.437334592653853088e-05 2.360047200944018903e-03
