#r        v         
0         0         
0.400328  13.7276   
0.800656  37.116    
1.20098   65.5982   
1.60131   95.1646   
2.00164   124.536   
2.40197   153.351   
2.8023    181.57    
3.20262   207.98    
3.60295   232.348   
4.00328   254.817   
4.40361   275.349   
4.80394   295.327   
5.20426   313.613   
5.60459   330.302   
6.00492   345.235   
6.40525   358.584   
6.80558   370.803   
7.2059    380.937   
7.60623   390.427   
8.00656   398.766   
8.40689   405.909   
8.80722   412.847   
9.20754   419.198   
9.60787   424.327   
10.0082   428.433   
10.4085   431.662   
10.8089   433.597   
11.2092   435.347   
11.6095   436.649   
12.0098   437.201   
12.4102   437.793   
12.8105   438.178   
13.2108   437.772   
13.6112   437.482   
14.0115   436.94    
14.4118   436.452   
14.8121   435.668   
15.2125   435.106   
15.6128   434.047   
16.0131   433.101   
16.4134   432.066   
16.8138   431.235   
17.2141   430.025   
17.6144   429.043   
18.0148   427.856   
18.4151   426.737   
18.8154   425.721   
19.2157   424.534   
19.6161   423.122   
20.0164   421.989   
20.4167   420.767   
20.8171   419.476   
21.2174   418.271   
21.6177   417.008   
22.018    415.93    
22.4184   414.743   
22.8187   413.624   
23.219    412.197   
23.6194   411.158   
24.0197   409.986   
24.42     408.695   
24.8203   407.343   
25.2207   406.004   
25.621    404.893   
26.0213   403.631   
26.4216   402.417   
26.822    401.369   
27.2223   400.111   
27.6226   398.81    
28.023    397.622   
28.4233   396.272   
28.8236   395.026   
29.2239   393.804   
29.6243   392.436   
30.0246   391.224   
30.4249   389.988   
30.8253   388.953   
31.2256   387.88    
31.6259   386.803   
32.0262   385.643   
32.4266   384.538   
32.8269   383.368   
33.2272   382.132   
33.6276   380.981   
34.0279   379.869   
34.4282   378.923   
34.8285   377.952   
35.2289   376.863   
35.6292   375.672   
36.0295   374.506   
36.4298   373.465   
36.8302   372.304   
37.2305   371.294   
37.6308   370.233   
38.0312   369.205   
38.4315   368.092   
38.8318   367.031   
39.2321   365.912   
39.6325   365.017   
