#r        v         
0         0         
0.400328  8.18936   
0.800656  25.3305   
1.20098   44.7694   
1.60131   64.8407   
2.00164   86.15     
2.40197   106.783   
2.8023    127.453   
3.20262   147.369   
3.60295   165.432   
4.00328   181.742   
4.40361   196.974   
4.80394   211.513   
5.20426   224.549   
5.60459   237.174   
6.00492   247.79    
6.40525   257.597   
6.80558   266.312   
7.2059    273.479   
7.60623   279.926   
8.00656   285.427   
8.40689   290.261   
8.80722   294.593   
9.20754   298.285   
9.60787   301.449   
10.0082   304.139   
10.4085   304.861   
10.8089   304.916   
11.2092   304.468   
11.6095   303.618   
12.0098   302.443   
12.4102   301.002   
12.8105   299.346   
13.2108   297.516   
13.6112   295.547   
14.0115   293.469   
14.4118   291.307   
14.8121   289.083   
15.2125   286.813   
15.6128   284.514   
16.0131   282.198   
16.4134   279.875   
16.8138   277.554   
17.2141   275.242   
17.6144   272.946   
18.0148   270.669   
18.4151   268.416   
18.8154   266.19    
19.2157   263.994   
19.6161   261.828   
20.0164   259.695   
20.4167   257.596   
20.8171   255.53    
21.2174   253.5     
21.6177   251.504   
22.018    249.544   
22.4184   247.618   
22.8187   245.726   
23.219    243.869   
23.6194   242.046   
24.0197   240.256   
24.42     238.498   
24.8203   236.773   
25.2207   235.08    
25.621    233.417   
26.0213   231.785   
26.4216   230.182   
26.822    228.609   
27.2223   227.064   
27.6226   225.546   
28.023    224.056   
28.4233   222.592   
28.8236   221.154   
29.2239   219.741   
29.6243   218.352   
30.0246   216.988   
30.4249   215.647   
30.8253   214.328   
31.2256   213.032   
31.6259   211.758   
32.0262   210.504   
32.4266   209.272   
32.8269   208.059   
33.2272   206.866   
33.6276   205.693   
34.0279   204.538   
34.4282   203.401   
34.8285   202.282   
35.2289   201.181   
35.6292   200.096   
36.0295   199.028   
36.4298   197.977   
36.8302   196.941   
37.2305   195.92    
37.6308   194.915   
38.0312   193.924   
38.4315   192.948   
38.8318   191.985   
39.2321   191.037   
39.6325   190.102   
