#r        v         
0         0         
0.600492  49.1911   
1.20098   73.7043   
1.80148   96.1473   
2.40197   116.303   
3.00246   134.632   
3.60295   149.735   
4.20344   161.877   
4.80394   171.969   
5.40443   180.571   
6.00492   187.029   
6.60541   194.144   
7.2059    202.101   
7.8064    208.366   
8.40689   213.44    
9.00738   219.218   
9.60787   227.083   
10.2084   236.716   
10.8089   247.08    
11.4093   257.487   
12.0098   267.409   
12.6103   273.603   
13.2108   276.299   
13.8113   279.638   
14.4118   281.329   
15.0123   282.488   
15.6128   283.1     
16.2133   282.05    
16.8138   279.981   
17.4143   277.699   
18.0148   275.735   
18.6153   274.52    
19.2157   274.273   
19.8162   274.567   
20.4167   274.756   
21.0172   274.902   
21.6177   275.373   
22.2182   275.789   
22.8187   275.792   
23.4192   275.74    
24.0197   275.825   
24.6202   275.821   
25.2207   275.421   
25.8212   274.568   
26.4216   273.399   
27.0221   272.065   
27.6226   270.658   
28.2231   269.223   
28.8236   267.79    
29.4241   266.453   
30.0246   265.581   
30.6251   266.178   
31.2256   268.42    
31.8261   269.379   
32.4266   268.862   
33.0271   267.912   
33.6276   266.967   
34.228    266.18    
34.8285   265.71    
35.429    265.93    
36.0295   267.319   
36.63     269.303   
37.2305   270.373   
37.831    270.359   
38.4315   269.799   
39.032    269.026   
39.6325   268.156   
40.233    267.233   
40.8335   266.309   
41.4339   265.483   
42.0344   264.88    
42.6349   264.56    
43.2354   264.462   
43.8359   264.566   
44.4364   264.97    
45.0369   265.475   
45.6374   265.516   
46.2379   265.046   
46.8384   265.225   
47.4389   267.87    
48.0394   270.517   
48.6399   270.532   
49.2403   269.605   
49.8408   268.772   
50.4413   267.955   
51.0418   266.809   
51.6423   265.279   
52.2428   263.525   
52.8433   261.704   
53.4438   259.903   
54.0443   258.161   
54.6448   256.487   
55.2453   254.878   
55.8458   253.329   
56.4462   251.833   
57.0467   250.383   
57.6472   248.975   
58.2477   247.604   
58.8482   246.265   
59.4487   244.958   
